Season,Date,Visitor,Visit_League,Home,HomeLeague,VisitScore,HomeScore
2000,4/29/2000,SEA,AL,KCA,AL,11,3
2000,4/29/2000,OAK,AL,MIN,AL,6,2
2000,4/29/2000,TOR,AL,NYA,AL,6,2
2000,4/30/2000,ARI,NL,CHN,NL,6,0
2000,4/30/2000,NYN,NL,COL,NL,14,11
2000,4/30/2000,FLO,NL,LAN,NL,1,7
2000,4/30/2000,HOU,NL,MIL,NL,3,4
2000,4/30/2000,SLN,NL,PHI,NL,4,3
2000,4/30/2000,CIN,NL,PIT,NL,6,2
2000,4/30/2000,ATL,NL,SDN,NL,7,4
2000,4/30/2000,MON,NL,SFN,NL,4,3
2000,4/30/2000,TBA,AL,ANA,AL,2,5
2000,4/30/2000,TEX,AL,BAL,AL,8,4
2000,4/30/2000,BOS,AL,CLE,AL,2,1
2000,4/30/2000,CHA,AL,DET,AL,3,4
2000,4/30/2000,SEA,AL,KCA,AL,3,6
2000,4/30/2000,OAK,AL,MIN,AL,8,2
2000,4/30/2000,TOR,AL,NYA,AL,1,7
2000,5/1/2000,MON,NL,COL,NL,8,15
2000,5/1/2000,ATL,NL,LAN,NL,2,1
2000,5/1/2000,HOU,NL,MIL,NL,5,0
2000,5/1/2000,FLO,NL,SDN,NL,5,2
2000,5/1/2000,NYN,NL,SFN,NL,3,10
2000,5/1/2000,DET,AL,BOS,AL,6,10
2000,5/1/2000,TOR,AL,CHA,AL,5,3
2000,5/1/2000,NYA,AL,CLE,AL,2,1
2000,5/1/2000,OAK,AL,KCA,AL,7,5
2000,5/2/2000,HOU,NL,CHN,NL,1,11
2000,5/2/2000,MON,NL,COL,NL,6,12
2000,5/2/2000,ATL,NL,LAN,NL,5,3
2000,5/2/2000,ARI,NL,MIL,NL,5,1
2000,5/2/2000,CIN,NL,PHI,NL,7,0
2000,5/2/2000,FLO,NL,SDN,NL,3,8
2000,5/2/2000,NYN,NL,SFN,NL,1,7
2000,5/2/2000,PIT,NL,SLN,NL,10,7
2000,5/2/2000,ANA,AL,BAL,AL,6,7
2000,5/2/2000,DET,AL,BOS,AL,7,6
2000,5/2/2000,TOR,AL,CHA,AL,4,1
2000,5/2/2000,NYA,AL,CLE,AL,4,2
2000,5/2/2000,OAK,AL,KCA,AL,7,8
2000,5/2/2000,SEA,AL,MIN,AL,5,4
